Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M2,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,6/102,280/18805,0.02142857142857143,3.9506302521008405,3.673535730691232,0.004220013818431659,0.044472853472788516,0.03721135657201595,1012/1003/79633/51294/6401/7042,6
M2,GO:0010718,positive regulation of epithelial to mesenchymal transition,3/102,60/18805,0.05,9.218137254901961,4.708427237488033,0.004237633981860491,0.044472853472788516,0.03721135657201595,1277/182/7042,3
M2,GO:0036006,cellular response to macrophage colony-stimulating factor stimulus,3/102,60/18805,0.05,9.218137254901961,4.708427237488033,0.004237633981860491,0.044472853472788516,0.03721135657201595,2321/4916/7010,3
M2,GO:0055008,cardiac muscle tissue morphogenesis,3/102,60/18805,0.05,9.218137254901961,4.708427237488033,0.004237633981860491,0.044472853472788516,0.03721135657201595,70/54567/7042,3
M2,GO:0030510,regulation of BMP signaling pathway,4/102,124/18805,0.03225806451612903,5.947185325743201,4.081676041903378,0.004654561698795198,0.04821473761661782,0.040342268448682495,1003/3209/5654/50964,4
M2,GO:0045446,endothelial cell differentiation,4/102,124/18805,0.03225806451612903,5.947185325743201,4.081676041903378,0.004654561698795198,0.04821473761661782,0.040342268448682495,1003/3209/182/55273,4
M2,GO:0042481,regulation of odontogenesis,2/102,19/18805,0.10526315789473684,19.40660474716202,5.927927702502195,0.004690902255578664,0.04821473761661782,0.040342268448682495,947/340419,2
M2,GO:0060039,pericardium development,2/102,19/18805,0.10526315789473684,19.40660474716202,5.927927702502195,0.004690902255578664,0.04821473761661782,0.040342268448682495,653/54567,2
M2,GO:0001952,regulation of cell-matrix adhesion,4/102,125/18805,0.032,5.899607843137255,4.058798226550882,0.004788722019656241,0.048967752344587404,0.04097233145023019,1012/182/22998/7010,4
M2,GO:0003229,ventricular cardiac muscle tissue development,3/102,63/18805,0.047619047619047616,8.779178338001868,4.567363805746043,0.00486035320228314,0.04919565627082528,0.041163023380276664,54567/84525/7042,3
M2,GO:0035791,platelet-derived growth factor receptor-beta signaling pathway,3/102,63/18805,0.047619047619047616,8.779178338001868,4.567363805746043,0.00486035320228314,0.04919565627082528,0.041163023380276664,2321/4916/7010,3
M2,GO:0010717,regulation of epithelial to mesenchymal transition,4/102,126/18805,0.031746031746031744,5.852785558667912,4.036167046631262,0.00492546021834335,0.049602867047356766,0.04150374506153222,653/1277/182/7042,4
M3,GO:0010721,negative regulation of cell development,10/84,285/18805,0.03508771929824561,7.855054302422722,7.811115882960049,5.613458759954449e-7,7.648757772298107e-4,5.740814217502131e-4,301/2258/22920/8829/283659/861/80031/6591/4982/7474,10
M3,GO:0003205,cardiac chamber development,8/84,172/18805,0.046511627906976744,10.412513842746401,8.306703366707934,1.0044282527941525e-6,7.648757772298107e-4,5.740814217502131e-4,187/1909/23493/3670/3084/8829/6659/7474,8
M3,GO:0014032,neural crest cell development,6/84,81/18805,0.07407407407407407,16.582892416225747,9.41437531972336,1.6459939497512985e-6,7.648757772298107e-4,5.740814217502131e-4,1909/3670/3084/8829/80031/6591,6
M3,GO:0003206,cardiac chamber morphogenesis,7/84,129/18805,0.05426356589147287,12.147932816537468,8.510351695250904,1.773008292141425e-6,7.648757772298107e-4,5.740814217502131e-4,187/1909/23493/3670/3084/8829/6659,7
M3,GO:0003231,cardiac ventricle development,7/84,129/18805,0.05426356589147287,12.147932816537468,8.510351695250904,1.773008292141425e-6,7.648757772298107e-4,5.740814217502131e-4,187/1909/23493/3670/3084/6659/7474,7
M3,GO:0048864,stem cell development,6/84,87/18805,0.06896551724137931,15.439244663382594,9.042210702324711,2.507108937651137e-6,8.289690133832701e-4,6.221869275472608e-4,1909/3670/3084/8829/80031/6591,6
M3,GO:0060485,mesenchyme development,10/84,342/18805,0.029239766081871343,6.545878585352269,6.933180682055637,2.9075124295532525e-6,8.289690133832701e-4,6.221869275472608e-4,187/1909/23493/3670/3084/8829/80031/6591/6659/7474,10
M3,GO:0003283,atrial septum development,4/84,23/18805,0.17391304347826086,38.93374741200828,12.193236307705591,3.0745257798174135e-6,8.289690133832701e-4,6.221869275472608e-4,23493/3670/6659/7474,4
M3,GO:0003007,heart morphogenesis,9/84,272/18805,0.03308823529411765,7.407431722689076,7.130103250059905,3.4671163543902036e-6,8.309522196021854e-4,6.236754331055127e-4,187/1909/23493/3670/3084/8829/6591/6659/7474,9
M3,GO:0014033,neural crest cell differentiation,6/84,94/18805,0.06382978723404255,14.28951367781155,8.652164313427283,3.943071925997359e-6,8.505206144376303e-4,6.383625918088356e-4,1909/3670/3084/8829/80031/6591,6
M3,GO:0072132,mesenchyme morphogenesis,5/84,58/18805,0.08620689655172414,19.299055829228244,9.34925557280645,5.998619158443308e-6,0.0011762746840692923,8.828589727929003e-4,187/23493/3670/6591/7474,5
M3,GO:0006935,chemotaxis,11/84,466/18805,0.023605150214592276,5.284462497445331,6.273381826559409,7.005583734647265e-6,0.0012103352014330552,9.084232680887387e-4,301/1240/1794/1880/3672/1130/4739/3084/8829/5156/7474,11
M3,GO:0042330,taxis,11/84,468/18805,0.023504273504273504,5.261879324379324,6.254033095607104,7.294556151427777e-6,0.0012103352014330552,9.084232680887387e-4,301/1240/1794/1880/3672/1130/4739/3084/8829/5156/7474,11
M3,GO:0003279,cardiac septum development,6/84,111/18805,0.05405405405405406,12.101029601029602,7.857309738842023,1.0322671364431112e-5,0.0015904287237912794,0.0011937044028943649,187/23493/3670/8829/6659/7474,6
M3,GO:0060326,cell chemotaxis,9/84,325/18805,0.027692307692307693,6.1994505494505505,6.333567330861604,1.453291315602069e-5,0.0020569764727855376,0.0015438741991284958,301/1240/1880/3672/1130/4739/8829/5156/7474,9
M3,GO:0048638,regulation of developmental growth,9/84,327/18805,0.027522935779816515,6.161533420707733,6.307037036975555,1.5258054503740658e-5,0.0020569764727855376,0.0015438741991284958,1848/2258/23493/3084/8829/5997/861/80031/7474,9
M3,GO:0003208,cardiac ventricle morphogenesis,5/84,71/18805,0.07042253521126761,15.765425888665325,8.34949361972909,1.628753547597707e-5,0.0020666008248048555,0.00155109780569986,1909/23493/3670/3084/6659,5
M3,GO:0060411,cardiac septum morphogenesis,5/84,74/18805,0.06756756756756757,15.126287001287002,8.155745141612357,1.9941461725827017e-5,0.002143765554078487,0.001609014187430258,187/23493/3670/8829/6659,5
M3,GO:0060420,regulation of heart growth,5/84,74/18805,0.06756756756756757,15.126287001287002,8.155745141612357,1.9941461725827017e-5,0.002143765554078487,0.001609014187430258,1848/23493/3084/5997/861,5
M3,GO:0003170,heart valve development,5/84,75/18805,0.06666666666666667,14.924603174603176,8.09365732717886,2.1291332748332607e-5,0.002143765554078487,0.001609014187430258,187/1009/23493/6591/6659,5
M3,GO:0003230,cardiac atrium development,4/84,37/18805,0.10810810810810811,24.202059202059203,9.462777703320738,2.1865017241412475e-5,0.002143765554078487,0.001609014187430258,23493/3670/6659/7474,4
M3,GO:0071425,hematopoietic stem cell proliferation,4/84,37/18805,0.10810810810810811,24.202059202059203,9.462777703320738,2.1865017241412475e-5,0.002143765554078487,0.001609014187430258,2122/861/6591/7474,4
M3,GO:0048762,mesenchymal cell differentiation,8/84,275/18805,0.02909090909090909,6.5125541125541115,6.168530913606909,3.151071326052728e-5,0.002955156891432928,0.0022180081004435225,1909/23493/3670/3084/8829/80031/6591/7474,8
M3,GO:0003203,endocardial cushion morphogenesis,4/84,41/18805,0.0975609756097561,21.840882694541232,8.948403685258038,3.3074070341405825e-5,0.0029725320719338486,0.0022310491309246562,187/23493/3670/6591,4
M3,GO:0050768,negative regulation of neurogenesis,6/84,139/18805,0.04316546762589928,9.663412127440905,6.867062288939709,3.7065297489725215e-5,0.003122187327556269,0.0023433736475033753,2258/22920/8829/283659/80031/7474,6
M3,GO:0060413,atrial septum morphogenesis,3/84,15/18805,0.2,44.773809523809526,11.360483779329725,3.763415415691376e-5,0.003122187327556269,0.0023433736475033753,23493/3670/6659,3
M3,GO:0051961,negative regulation of nervous system development,6/84,147/18805,0.04081632653061224,9.13751214771623,6.634649973005635,5.070806091577362e-5,0.004051010644271248,0.003040506732493561,2258/22920/8829/283659/80031/7474,6
