Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:0007178,cell surface receptor protein serine/threonine kinase signaling pathway,7/51,427/18805,0.01639344262295082,6.044680167148827,5.49872125336498,1.4480344876556208e-4,0.0054829678454899194,0.0035948833264964272,10370/1601/1958/2353/3280/3397/3725,7
M0,GO:0008207,C21-steroid hormone metabolic process,3/51,38/18805,0.07894736842105263,29.10990712074303,9.045176285076423,1.482631000054168e-4,0.0054829678454899194,0.0035948833264964272,174/1601/1958,3
M0,GO:0042982,amyloid precursor protein metabolic process,4/51,99/18805,0.04040404040404041,14.897999603881958,7.23007297445078,1.4937572655982154e-4,0.0054829678454899194,0.0035948833264964272,348/1191/9445/57142,4
M0,GO:0032350,regulation of hormone metabolic process,3/51,39/18805,0.07692307692307693,28.36349924585219,8.92033850687627,1.603117571646531e-4,0.005758195816295193,0.003775335313652831,1601/1958/7849,3
M0,GO:0048511,rhythmic process,6/51,303/18805,0.019801980198019802,7.30149485536789,5.766586560028668,1.6302584308955405e-4,0.005758195816295193,0.003775335313652831,174/1958/3397/3398/3399/3400,6
M0,GO:0072210,metanephric nephron development,3/51,41/18805,0.07317073170731707,26.979913916786227,8.684207210107804,1.8627926060884076e-4,0.006457681034439813,0.004233949666080084,1958/3280/7849,3
M0,GO:0048568,embryonic organ development,7/51,457/18805,0.015317286652078774,5.647874029261595,5.2454329098949,2.1967141425003388e-4,0.007476816135928426,0.004902141033790231,10370/3280/3398/3399/4646/7849/10653,7
M0,GO:0019218,regulation of steroid metabolic process,4/51,112/18805,0.03571428571428571,13.1687675070028,6.735647570709924,2.4014931933378234e-4,0.008027848674872154,0.005263423051563725,348/1601/1958/3490,4
M0,GO:1901016,regulation of potassium ion transmembrane transporter activity,3/51,45/18805,0.06666666666666667,24.58169934640523,8.259013792631864,2.4607743231288144e-4,0.008081700934907265,0.005298731044816617,288/481/486,3
M0,GO:0051090,regulation of DNA-binding transcription factor activity,6/51,332/18805,0.018072289156626505,6.663713678242381,5.4295629196062025,2.669696169311408e-4,0.008616674532674062,0.0056494840896862105,307/1191/3280/3397/3398/3399,6
M0,GO:0060840,artery development,4/51,116/18805,0.034482758620689655,12.714672075726842,6.5997783788185345,2.746620524324799e-4,0.008714701053450888,0.005713754739273356,348/10370/3280/57142,4
M0,GO:0008202,steroid metabolic process,6/51,335/18805,0.01791044776119403,6.6040386303775245,5.39701132795139,2.8015869112525904e-4,0.008736018349575415,0.005727731329062604,10449/174/348/1601/1958/3490,6
M0,GO:0072001,renal system development,6/51,336/18805,0.017857142857142856,6.5843837535014,5.386249371981616,2.8466726459620747e-4,0.008736018349575415,0.005727731329062604,1958/2018/4072/3280/3399/7849,6
M0,GO:0021795,cerebral cortex cell migration,3/51,49/18805,0.061224489795918366,22.5750300120048,7.885742470809226,3.170710473192574e-4,0.009421539691772219,0.006177190328726051,3912/57142/23224,3
M0,GO:1902003,regulation of amyloid-beta formation,3/51,49/18805,0.061224489795918366,22.5750300120048,7.885742470809226,3.170710473192574e-4,0.009421539691772219,0.006177190328726051,348/1191/57142,3
M0,GO:1902305,regulation of sodium ion transmembrane transport,3/51,51/18805,0.058823529411764705,21.68973471741638,7.715362003228848,3.570259241265241e-4,0.010443008280700829,0.006846911637031695,288/481/486,3
M0,GO:0045785,positive regulation of cell adhesion,7/51,499/18805,0.014028056112224449,5.172501866478054,4.9262147119342226,3.742611470931853e-4,0.010593621134135537,0.006945660280253058,288/10370/1601/1803/2244/3280/3912,7
M0,GO:0010248,establishment or maintenance of transmembrane electrochemical gradient,2/51,11/18805,0.18181818181818182,67.04099821746881,11.425194807916588,3.9047000975179065e-4,0.010593621134135537,0.006945660280253058,481/486,2
M0,GO:0072173,metanephric tubule morphogenesis,2/51,11/18805,0.18181818181818182,67.04099821746881,11.425194807916588,3.9047000975179065e-4,0.010593621134135537,0.006945660280253058,3280/7849,2
M0,GO:1903276,regulation of sodium ion export across plasma membrane,2/51,11/18805,0.18181818181818182,67.04099821746881,11.425194807916588,3.9047000975179065e-4,0.010593621134135537,0.006945660280253058,481/486,2
